,Mitigation,Hazard,Causes,Impacts,Invalid
2025-09-29,0.0,1.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0,1.0
2025-10-01,0.0,0.0,0.0,0.0,4.0
2025-10-02,0.0,0.0,0.0,0.0,2.0
2025-10-03,0.0,0.0,0.0,0.0,1.0
2025-10-05,0.0,0.0,0.0,0.0,2.0
2025-10-06,0.0,4.0,0.0,0.0,8.0
2025-10-07,0.0,2.0,0.0,0.0,4.0
2025-10-08,0.0,5.0,0.0,0.0,7.0
2025-10-10,0.0,0.0,1.0,1.0,2.0
2025-10-12,0.0,0.0,0.0,0.0,1.8
2025-10-13,0.0,1.8,0.0,0.0,10.4
2025-10-14,0.0,0.0,0.0,0.0,2.7
2025-10-15,0.0,1.9,0.0,0.0,9.4
2025-10-16,0.0,1.8,0.0,0.0,6.500000000000001
2025-10-17,0.0,1.8,0.0,0.0,10.3
2025-10-18,0.0,0.9,0.0,0.0,1.9
2025-10-19,0.0,1.0,1.0,0.0,2.0
2025-10-20,0.0,0.0,0.0,0.0,1.0
2025-10-21,0.0,0.0,0.0,0.0,1.8
2025-10-22,0.0,0.9,0.0,0.0,13.100000000000001
2025-10-23,0.0,3.0,1.0,0.0,12.200000000000001
2025-10-24,0.0,2.8,0.0,0.0,11.600000000000001
2025-10-25,0.0,0.9,0.0,0.0,8.5
2025-10-26,0.0,4.7,0.0,0.0,8.700000000000001
2025-10-27,0.0,0.9,0.0,0.0,10.9
2025-10-28,0.0,1.0,0.0,0.0,7.7
2025-10-29,0.0,2.8,0.0,0.0,0.9
2025-10-30,0.0,0.9,0.0,0.0,6.400000000000001
2025-10-31,1.0,0.9,0.0,0.0,1.9
2025-11-01,0.0,0.0,0.0,0.0,5.9
2025-11-02,0.0,0.0,2.0,0.0,6.500000000000001
2025-11-03,0.0,3.9,2.0,2.0,0.0
2025-11-04,0.0,10.8,0.0,1.0,1.8
2025-11-05,0.0,6.800000000000001,1.0,1.0,1.8
2025-11-06,0.0,3.9,1.0,0.0,2.7
2025-11-07,0.0,0.0,0.0,0.0,1.8
2025-11-08,0.0,1.8,1.8,0.9,0.9
2025-11-09,0.0,0.9,0.0,1.8,0.9
